epoch,accuracy,loss,val_accuracy,val_loss
0,0.49681705,1.1555697434733128,0.6916426420211792,0.8622822570869489
1,0.67810684,0.8303196956139339,0.7204610705375671,0.8026750388337831
2,0.7359535,0.684342336116852,0.7319884896278381,0.7088199130739877
3,0.7691669,0.6147305186917305,0.7435158491134644,0.6903197567813335
4,0.7904788,0.5648508077590974,0.7752161622047424,0.6639739498281342
5,0.82092446,0.4914095542073217,0.7694524526596069,0.6564620984047221
6,0.828951,0.458565663951538,0.7780979871749878,0.6277716511951743
7,0.8549682,0.3988555754168094,0.7867435216903687,0.6102340319314676
8,0.86576253,0.3582354804303486,0.801152765750885,0.628867300168238
9,0.8771104,0.3328180602884939,0.7838616967201233,0.6174698922063844
10,0.89842236,0.28867879451360523,0.7953890562057495,0.6364732455107939
11,0.9028508,0.25845458521849224,0.7982708811759949,0.6344398598506059
